id,name,locality,country,region,tier,category,lat,lon,seaTempC,bestMonths,sand,water,swimming,surf,setting,blueFlag,tags,description,url
sakarun-hr,Sakarun,"Dugi Otok, Zadar",HR,Europe,2,tropical,44.093,14.866,25,Jun-Sep,White sand and fine shingle,Shallow milky-turquoise,"Shallow, warm, family-friendly",None,Pine-backed bay on a remote island,false,dugi-otok|turquoise|shallow,A rare sandy Adriatic lagoon whose shallow turquoise water draws comparisons to the Caribbean.,https://europebeachmap.com/beaches/sakarun-hr/
stiniva-hr,Stiniva Cove,Vis,HR,Europe,2,wild,43.0184,16.171,25,Jun–Sep,White pebble,Clear turquoise,"Clear, deep",None,Cliffs pinched to a keyhole,false,Hike|Boat|Snorkel,A hidden cove where two cliffs nearly meet over a pebble beach.,https://europebeachmap.com/beaches/stiniva-hr/
sveti-ivan-lubenice-hr,Sveti Ivan Beach,"Lubenice, Cres",HR,Europe,2,wild,44.807,14.345,24,Jun-Sep,White pebbles in a tiny half-moon,"Luminous, glass-clear blue","Deep, brilliantly clear — snorkelling water",None,"A 45-minute scramble below the 4,000-year-old clifftop hamlet of Lubenice",false,clifftop village|hike-in|clear,A luminous pebble half-moon 378 metres below the ancient hamlet of Lubenice — earn it on foot or arrive by boat.,https://europebeachmap.com/beaches/sveti-ivan-lubenice-hr/
trstenica-hr,Trstenica,"Orebić, Pelješac",HR,Europe,2,resort,42.9784,17.1928,25,Jun-Sep,Sand and fine pebble along a kilometre-long crescent,"Clear and gently shelving, with the Korčula archipelago across the channel",Big shallow area that suits children; calm on most summer days,None,"Ten minutes' walk east of Orebić's ferry pier beneath the 961 m Sveti Ilija ridge, pines for shade",false,family|pine shade|island views,Orebić's big family beach — a sandy kilometre of shallows looking straight at the Korčula archipelago.,https://europebeachmap.com/beaches/trstenica-hr/
vela-plaza-hr,Vela Plaža,"Baška, Krk",HR,Europe,2,resort,44.9644,14.7502,24,Jun-Sep,Fine pebbles in an emphatic 1.8 km crescent,"Clear blue, shallow at the shore then steadily deeper",Gently shelving entry that suits children and non-swimmers,None,"Fronted by Baška's café promenade, with bare karst ridges rising on both sides of the valley",true,pebble|family|promenade,"Krk's showpiece — a 1.8 km pebble crescent under bare karst ridges, flying the Blue Flag since 1999.",https://europebeachmap.com/beaches/vela-plaza-hr/
zrce-beach-hr,Zrće Beach,"Novalja, Pag",HR,Europe,2,resort,44.533,14.908,24,Jun-Sep,White pebbles,"Clear, bright turquoise","Clear and shallow, warm in the sheltered bay",None,"Croatia's open-air club beach, lined with day-and-night beach bars",true,party|clubs|turquoise,The 'Croatian Ibiza' — a bright white-pebble bay on Pag that turns into a round-the-clock open-air club all summer.,https://europebeachmap.com/beaches/zrce-beach-hr/
copacabana-beach-hr,Copacabana Beach,"Babin Kuk, Dubrovnik",HR,Europe,3,resort,42.667,18.063,26,Jun-Sep,Pebbles and imported sand,"Clear, calm blue",Calm and shallow with watersports and slides,None,A family resort beach on the Lapad peninsula with Adriatic sunset views,false,family|watersports|sunset,"Dubrovnik's liveliest resort beach, a west-facing Lapad cove of watersports, floating slides and Adriatic sunsets.",https://europebeachmap.com/beaches/copacabana-beach-hr/
divna-beach-hr,Divna Beach,Pelješac Peninsula,HR,Europe,3,wild,42.949,17.352,25,Jun-Sep,White pebbles,Clear turquoise,Clear and calm in the sheltered pine-ringed bay,None,A remote pine-fringed bay — 'divna' means lovely — on northern Pelješac,false,remote|pines|turquoise,"Aptly named 'lovely', a remote pine-ringed bay of white pebbles and clear turquoise on the wild Pelješac peninsula.",https://europebeachmap.com/beaches/divna-beach-hr/
dubovica-hr,Dubovica,Hvar Island,HR,Europe,3,wild,43.1461,16.5343,25,Jun-Sep,White pebbles,Clear turquoise-blue,"Clear, deepening, good snorkelling",None,A lone old stone house and terraced hills in an unspoilt cove,false,hvar|cove|stone-house,A secluded pebble cove on Hvar's south coast framed by a single old stone house and vineyards.,https://europebeachmap.com/beaches/dubovica-hr/
hawaii-beach-hr,Hawaii Beach (Havajke),"Verudela, Pula, Istria",HR,Europe,3,tropical,44.8318,13.832,25,Jun–Sep,White pebbles and rock ledges below low pines,"Bright, clear turquoise over a pale seabed","Deep, clear and calm, with ladders off the rocks",None,A turquoise cove nicknamed 'Hawaii' on Pula's hotel-lined Verudela peninsula,false,turquoise|pula|pine cove,A cove so bright it earned the name 'Hawaii' — clear turquoise below the pines of Pula's Verudela peninsula.,https://europebeachmap.com/beaches/hawaii-beach-hr/
nugal-beach-hr,Nugal Beach,Makarska Riviera,HR,Europe,3,wild,43.283,17.041,25,Jun-Sep,White pebbles,Clear deep turquoise,"Deep, clear and calm in the cliff-backed cove",None,"A secluded cove between Makarska and Tučepi, reached by coastal path or boat",false,secluded|cliffs|pine path,"A secluded white-pebble cove backed by dramatic cliffs and pines, hidden along the coastal path from Makarska.",https://europebeachmap.com/beaches/nugal-beach-hr/
oprna-bay-hr,Oprna Bay,"Stara Baška, Krk",HR,Europe,3,wild,44.9671,14.6627,24,Jun-Sep,Fine gravel and pale pebbles beneath a steep scree slope,"Startling turquoise, clear to the seabed from the shore","Snorkelling-grade clarity; calm mornings, though wind can funnel down the slope",None,"Below the Stara Baška road on Krk's rugged south coast — a steep rocky scramble down, or arrive by boat",false,steep access|turquoise|undeveloped,Often called Krk's most beautiful beach — a scree-backed turquoise cove you earn by a steep scramble.,https://europebeachmap.com/beaches/oprna-bay-hr/
proizd-hr,Proizd,"near Vela Luka, Korčula",HR,Europe,3,wild,42.966,16.655,25,Jun-Sep,White rock shelves,Extraordinarily clear turquoise,Deep and glass-clear off the smooth white rocks,None,A tiny uninhabited islet of white-rock bathing shelves off Korčula,false,islet|white rock|clear water,A tiny uninhabited islet whose smooth white rock shelves drop into some of the clearest turquoise water in the Adriatic.,https://europebeachmap.com/beaches/proizd-hr/
rt-kamenjak-hr,Rt Kamenjak,"Premantura, Istria",HR,Europe,3,wild,44.762,13.913,25,Jun-Sep,Rock shelves and pebble coves,Clear turquoise over white rock,Deep and crystal-clear off the rocks and in hidden coves,None,A wild protected cape of dozens of coves at Istria's southern tip,false,cape|coves|nature park,"Istria's wild southern cape — a protected headland of scrub, dinosaur tracks and dozens of clear-water rock coves.",https://europebeachmap.com/beaches/rt-kamenjak-hr/
saplunara-beach-hr,Saplunara Beach,Mljet,HR,Europe,3,tropical,42.687,17.73,26,Jun-Sep,Fine golden sand — 'sabbia' gave the bay its name,"Warm, shallow, sheltered turquoise",Calm and shallow inside the pine-ringed inlet,None,"The sandy southern tip of green Mljet, Odysseus's island",false,mljet|pine inlet|sand,"Golden sand on Odysseus's green island — Mljet's sheltered southern inlet, warm and pine-ringed.",https://europebeachmap.com/beaches/saplunara-beach-hr/
srebrna-beach-hr,Srebrna Beach,"Rukavac, Vis",HR,Europe,3,wild,43.0204,16.2054,25,Jun-Sep,"Large silver-white pebbles polished smooth, flanked by flat stone slabs",Glass-clear blue with superb visibility,"Gradual pebble entry into calm, transparent water",None,"A bare 400 m cove near Rukavac hamlet on Vis's south coast — pine woods behind, no bars or kiosks on the stones",false,white pebbles|snorkelling|unspoilt,Named for its silver-glowing white pebbles — a commerce-free cove of glass-clear water on Vis's south shore.,https://europebeachmap.com/beaches/srebrna-beach-hr/
sunj-beach-hr,Sunj Beach,"Lopud, Elaphiti Islands",HR,Europe,3,tropical,42.681,17.943,26,Jun-Sep,Rare golden sand,"Warm, shallow, clear turquoise","Shallow, warm and calm — one of the Adriatic's few true sand beaches",None,"A sandy bay on car-free Lopud, reached by walk or golf-buggy from the ferry",false,sand|car-free island|shallow,"A rare true sand beach on car-free Lopud, its shallow turquoise water a short walk across the island from the ferry.",https://europebeachmap.com/beaches/sunj-beach-hr/
vela-przina-hr,Vela Pržina,"Lumbarda, Korčula",HR,Europe,3,tropical,42.905,17.186,25,Jun-Sep,Golden sand,"Shallow, clear turquoise","Warm, shallow and calm",None,A rare sandy bay among the vineyards of Lumbarda on Korčula,false,sand|vineyards|shallow,A rare golden-sand bay backed by the sandy Grk-wine vineyards of Lumbarda on the island of Korčula.,https://europebeachmap.com/beaches/vela-przina-hr/
zavratnica-hr,Zavratnica,"Jablanac, Velebit",HR,Europe,3,wild,44.706,14.908,24,Jun-Sep,Pebbles at the head of a fjord-like inlet,"Deep, vivid green-blue","Deep, clear and sheltered in the narrow inlet",None,"A slender 800-metre inlet beneath the Velebit mountains, reached on foot",false,fjord-like|mountains|hike-in,"A fjord-like inlet knifing 800 metres into the Velebit massif, its vivid water reached only on foot or by boat.",https://europebeachmap.com/beaches/zavratnica-hr/
ballymastocker-bay-ie,Ballymastocker Bay,"Portsalon, Donegal",IE,Europe,2,wild,55.2,-7.63,15,Jun-Aug,A golden two-kilometre crescent once voted among the world's most beautiful,"Clear, cold Lough Swilly water",Sheltered by the lough — cold but calm,None,The green flank of the Fanad peninsula on Lough Swilly,true,donegal|lough swilly|crescent,Donegal's golden crescent on Lough Swilly — regularly ranked among the world's most beautiful beaches.,https://europebeachmap.com/beaches/ballymastocker-bay-ie/
inch-beach-ie,Inch Beach,"Dingle Peninsula, County Kerry",IE,Europe,2,surf,52.14,-9.978,16,May to September,A five-kilometre sand spit reaching out into Dingle Bay,"Clear Atlantic, greenish and cold",Popular but with rips; lifeguarded in summer,"Reliable beach break, a favourite Kerry learner and longboard spot",A long dune-backed spit between the Slieve Mish Mountains and the sea,false,surf|sand spit|Dingle|learner waves,A five-kilometre finger of surf-swept sand pointing into Dingle Bay beneath the Kerry mountains.,https://europebeachmap.com/beaches/inch-beach-ie/
keem-bay-ie,Keem Bay,"Achill Island, County Mayo",IE,Europe,2,wild,53.965,-10.193,16,June to September,Sheltered horseshoe of white-gold sand at the foot of steep cliffs,"Clear turquoise, unusually calm for the Atlantic",Sheltered and clear but cold; a Blue Flag beach,None,Steep green cliffs and a hairpin mountain road at the western tip of Achill Island,true,turquoise water|cliffs|Achill Island|Blue Flag,A turquoise horseshoe cupped by soaring green cliffs at the wild western tip of Achill Island.,https://europebeachmap.com/beaches/keem-bay-ie/
strandhill-beach-ie,Strandhill Beach,"Strandhill, County Sligo",IE,Europe,2,surf,54.2719,-8.6081,16,Jun-Sep,Dark-gold sand below a bank of storm-rolled cobbles,"Cold, restless Atlantic — never flat","Prohibited — powerful rips; this is a surf beach, not a bathing one",One of Ireland's most consistent beach breaks; surf schools year-round,"Under cairn-topped Knocknarea, with seaweed baths and chip vans along the shorefront",false,surf town|rip currents|seaweed baths,"Sligo's surf capital beneath Queen Maeve's mountain — all waves, no swimming.",https://europebeachmap.com/beaches/strandhill-beach-ie/
banna-strand-ie,Banna Strand,County Kerry,IE,Europe,3,cold,52.32,-9.827,16,Jun-Sep,Vast golden sand and high dunes,"Cool, clean Atlantic blue",Broad and lively; lifeguarded in summer,Long open beach-break,A long dune-backed Kerry strand with Tralee Bay views,true,dunes|vast|surf,"A long, dune-backed Kerry strand of golden sand and rolling Atlantic surf beneath the Slieve Mish mountains.",https://europebeachmap.com/beaches/banna-strand-ie/
barleycove-beach-ie,Barleycove Beach,"Mizen Peninsula, West Cork",IE,Europe,3,wild,51.47,-9.71,16,Jun-Aug,Pale gold sand between dunes thrown up by the 1755 Lisbon tsunami,"Clear, cold Atlantic green",Sheltered between headlands; a warm tidal stream for children,None,A protected dune system near Ireland's southernmost point,true,tsunami dunes|west cork|tidal stream,Dunes raised by the great Lisbon tsunami of 1755 cradle West Cork's loveliest pale-gold bay.,https://europebeachmap.com/beaches/barleycove-beach-ie/
coumeenoole-beach-ie,Coumeenoole Beach,Dingle Peninsula,IE,Europe,3,wild,52.108,-10.469,16,Jun-Sep,Golden sand among rocks,"Clear, cold Atlantic blue",Strong currents — a dramatic look-don't-swim beach,Heavy Atlantic swell,"A wild cove below Slea Head, facing the Blasket Islands",false,Slea Head|cliffs|Blaskets,"A wild golden cove beneath the cliffs of Slea Head at Ireland's far south-west, gazing out to the Blasket Islands.",https://europebeachmap.com/beaches/coumeenoole-beach-ie/
curracloe-beach-ie,Curracloe Beach,County Wexford,IE,Europe,3,cold,52.395,-6.365,15,Jun-Sep,Vast pale golden sand,"Cool, gentle Irish Sea blue",Shallow and gentle; lifeguarded in summer,Small swell,An eleven-kilometre dune strand that stood in for Normandy in Saving Private Ryan,true,vast|dunes|film location,"An eleven-kilometre sweep of pale dune-backed sand in Wexford, famous as the D-Day beach of Saving Private Ryan.",https://europebeachmap.com/beaches/curracloe-beach-ie/
dog-s-bay-ie,Dog's Bay,"Roundstone, Connemara",IE,Europe,3,tropical,53.383,-9.988,16,Jun-Sep,Brilliant white shell sand,Clear pale turquoise,Cold but clear and sheltered on the near-enclosed bay,None,A back-to-back white-sand bay of pure ground shell in wild Connemara,false,shell sand|turquoise|Connemara,"A dazzling horseshoe of pure white shell sand and turquoise water, a slice of the tropics on Connemara's wild coast.",https://europebeachmap.com/beaches/dog-s-bay-ie/
inchydoney-ie,Inchydoney,County Cork,IE,Europe,3,surf,51.596,-8.865,16,Jun-Sep,Wide golden sand,"Cool, clean Atlantic blue",Gently shelving with reliable surf; lifeguarded,A friendly beach-break split by a rocky headland,A twin golden strand split by a green headland in West Cork,true,surf|headland|family,"A twin sweep of golden sand split by a grassy headland, West Cork's favourite surf and family beach.",https://europebeachmap.com/beaches/inchydoney-ie/
reynisfjara-is,Reynisfjara Black Sand Beach,Vík,IS,Europe,0,exotic,63.404,-19.044,12,May–Sep,Jet-black volcanic,"Frigid, violent",No — deadly sneaker waves,None,Basalt columns & sea stacks,false,Basalt columns|Puffins|Geology,Black basalt sand and hexagonal columns — beautiful and genuinely dangerous.,https://europebeachmap.com/beaches/reynisfjara-is/
diamond-beach-is,Diamond Beach,Jökulsárlón,IS,Europe,1,exotic,64.043,-16.176,11,Year-round,Black volcanic,Glacial,No,None,Icebergs stranded on black sand,false,Icebergs|Seals|Photography,Glittering chunks of glacier ice scattered like diamonds on black sand.,https://europebeachmap.com/beaches/diamond-beach-is/
breidavik-is,Breiðavík,Westfjords,IS,Europe,2,cold,65.5526,-24.3843,11,Jun-Aug,"A broad crescent of blonde sand, startling against dark Westfjords moorland",Improbably turquoise over pale shallows on clear days,Sub-10°C — a quick plunge for the hardy,None,"A lone church and guesthouse behind the bay, on the road out to the Látrabjarg bird cliffs",false,golden sand|remote|puffin cliffs nearby,The Westfjords' turquoise surprise — a golden bay at the end of the road to the Látrabjarg puffin cliffs.,https://europebeachmap.com/beaches/breidavik-is/
djupalonssandur-is,Djupalonssandur,Snaefellsnes Peninsula,IS,Europe,2,exotic,64.749,-23.905,12,June to August,Smooth black volcanic pebbles rather than sand,"Cold, wild North Atlantic",Not for swimming; dangerous surf and sneaker waves,None,"Lava cliffs, rock arches and rusted shipwreck remains beneath Snaefellsjokull glacier",false,black pebbles|lava|shipwreck|dangerous surf,"Smooth black lava pearls, jagged rock arches and shipwreck iron beneath a glacier-topped volcano.",https://europebeachmap.com/beaches/djupalonssandur-is/
stokksnes-is,Stokksnes,"Vestrahorn, Iceland",IS,Europe,2,wild,64.246,-14.988,11,Year-round,Jet-black volcanic sand and dunes,"Cold, restless Atlantic grey-blue","Frigid — a place to photograph, not swim",None,A black-sand headland mirroring the jagged Vestrahorn massif,false,black sand|Vestrahorn|reflections,A black-sand headland where tufted dunes and mirror pools reflect the jagged spires of the Vestrahorn massif.,https://europebeachmap.com/beaches/stokksnes-is/
ytri-tunga-is,Ytri Tunga,Snaefellsnes Peninsula,IS,Europe,2,cold,64.8028,-23.0803,12,Jun-Aug,Golden sand and seaweed-draped skerries — a rarity on volcanic Iceland,"Clear, cold North Atlantic",Too cold for more than a paddle — this is a wildlife beach,None,A farm shore under the Snæfellsnes mountains where harbour seals haul out on the rocks,false,seal colony|golden sand|wildlife,Iceland's most dependable seal-watching beach — harbour seals lolling on skerries off golden sand.,https://europebeachmap.com/beaches/ytri-tunga-is/
nautholsvik-is,Nauthólsvík,Reykjavík,IS,Europe,3,exotic,64.126,-21.945,12,Year-round,Imported golden sand,A geothermally warmed lagoon,A man-made cove where hot geothermal water warms the sea to a swimmable temperature,None,A geothermal beach lagoon on the edge of Reykjavík with hot-pots,false,geothermal|hot-pot|city beach,Reykjavík's geothermal beach — golden sand imported to a cove where hot spring water warms the North Atlantic enough to swim.,https://europebeachmap.com/beaches/nautholsvik-is/
raudasandur-is,Raudasandur,Westfjords,IS,Europe,3,exotic,65.465,-23.988,11,June to August,A ten-kilometre sweep of pink-red sand from crushed scallop shells,Cold Atlantic across vast shifting tidal flats,"Too cold and remote for real swimming, but wade the shallows",None,"A wild, remote Westfjords bay backed by mountains, reached by a steep gravel road",false,red sand|remote|Westfjords|tidal flats,A ten-kilometre sweep of red-gold shell sand that shifts colour with the light in Iceland's remote Westfjords.,https://europebeachmap.com/beaches/raudasandur-is/
cala-goloritze-it,Cala Goloritzé,Sardinia,IT,Europe,1,wild,40.113,9.66,26,Jun–Sep,White pebble,Emerald & turquoise,"Clear, deep",None,Hike- or boat-only cove,false,Rock pinnacle|Hike|Arch,"A protected cove with a soaring limestone spire, reached on foot or by boat.",https://europebeachmap.com/beaches/cala-goloritze-it/
cala-luna-it,Cala Luna,"Golfo di Orosei, Sardinia",IT,Europe,1,wild,40.2262,9.6293,26,Jun-Sep,Pale golden sand backed by huge shady caves,Vivid clear turquoise,Clear and deep-shelving; calm most summer mornings,None,"Reached by boat from Cala Gonone or a two-hour gorge hike, framed by limestone cliffs",false,boat access|caves|gorge hike,The Golfo di Orosei's poster cove — pale sand and turquoise water beneath gaping limestone caves.,https://europebeachmap.com/beaches/cala-luna-it/
cala-mariolu-it,Cala Mariolu,"Baunei, Gulf of Orosei",IT,Europe,1,exotic,40.146,9.6555,26,Jun-Sep,White pebbles and pea-sized shingle,Deep sapphire shading to pale turquoise,"Deep, clear, superb snorkelling",None,"Towering Supramonte limestone cliffs, boat access only",false,gulf-of-orosei|cliffs|snorkelling,A boat-only cove of white pebbles beneath soaring cliffs where the sea glows in bands of blue.,https://europebeachmap.com/beaches/cala-mariolu-it/
chia-su-giudeu-it,Chia (Su Giudeu),"Domus de Maria, Sardinia",IT,Europe,1,tropical,38.888,8.883,26,Jun-Sep,Fine pale sand backed by juniper dunes,"Shallow, clear turquoise","Warm, shallow and calm; wade to the little Su Giudeu islet",Occasional wind swell — a kite and windsurf spot,"Dunes, a Spanish watchtower and flamingo lagoons on Sardinia's south coast",false,turquoise|dunes|islet,"Southern Sardinia's postcard beach, where juniper dunes frame a turquoise shallows you can wade across to a tiny islet.",https://europebeachmap.com/beaches/chia-su-giudeu-it/
fiordo-di-furore-it,Fiordo di Furore,"Furore, Amalfi Coast",IT,Europe,1,wild,40.6141,14.5542,26,Jun-Sep,Small pebble and coarse-sand pocket,Deep clear blue,Deep and dramatic,None,A narrow ravine spanned by a high arched bridge,false,fjord|amalfi|bridge,A sliver of beach hides in a deep coastal ravine beneath the Amalfi Coast's famous arched bridge.,https://europebeachmap.com/beaches/fiordo-di-furore-it/
isola-bella-it,Isola Bella,"Taormina, Sicily",IT,Europe,1,resort,37.851,15.301,26,May-Oct,Grey pebbles and shingle,Clear blue-green,"Deepens quickly, good snorkelling",None,Tiny nature-reserve islet below Taormina's cliffs,false,taormina|islet|snorkelling,A pebble spit links the mainland to a miniature island reserve beneath clifftop Taormina.,https://europebeachmap.com/beaches/isola-bella-it/
la-pelosa-it,La Pelosa Beach,Sardinia,IT,Europe,1,tropical,40.827,8.204,25,Jun–Sep,Powder white,Shallow turquoise,"Shallow, warm, calm",None,Watchtower & islet,false,Snorkel|Family|Wade-out,A Caribbean-clear shallow flat beneath a 16th-century Aragonese tower.,https://europebeachmap.com/beaches/la-pelosa-it/
mondello-it,Mondello,"Palermo, Sicily",IT,Europe,1,resort,38.203,13.328,27,May-Oct,Soft white sand,"Shallow, clear pale turquoise","Warm, shallow and calm in the sheltered bay",None,Palermo's belle-époque resort bay between Monte Pellegrino and Monte Gallo,false,belle-epoque|city beach|turquoise,"Palermo's beloved resort bay, a curve of white sand and turquoise water framed by Liberty-style bathhouses and two mountains.",https://europebeachmap.com/beaches/mondello-it/
monterosso-al-mare-it,Monterosso al Mare,"Cinque Terre, Liguria",IT,Europe,1,resort,44.147,9.652,25,Jun-Sep,Coarse sand and pebbles,Clear blue,"Good, gently shelving in the Fegina bay",None,Pastel village and terraced vineyards of the Cinque Terre,false,cinque-terre|village|liguria,"The only true sandy beach of the Cinque Terre, fronting a pastel village of the Ligurian coast.",https://europebeachmap.com/beaches/monterosso-al-mare-it/
polignano-a-mare-it,Polignano a Mare,"Lama Monachile, Puglia",IT,Europe,1,wild,40.996,17.219,26,Jun-Sep,Pebbles in a cliff-walled cove,"Deep, clear blue","Deep and clear, dramatic between the ravine walls",None,A pebble cove wedged in a ravine beneath Polignano's clifftop old town,false,cliffs|old town|cliff-diving,"A pebble cove dramatically wedged in a ravine below Polignano's whitewashed clifftop town, famous for cliff-diving.",https://europebeachmap.com/beaches/polignano-a-mare-it/
rimini-beach-it,Rimini Beach,"Rimini, Emilia-Romagna",IT,Europe,1,resort,44.0526,12.6031,26,Jun-Sep,Fifteen kilometres of fine groomed sand under regimented rows of umbrellas,"Warm, shallow and slightly milky Adriatic",Bath-warm and waist-deep a long way out; ideal for children,None,"Italy's beach-holiday capital since 1843 — numbered bagni, promenades and Fellini-era grand hotels",true,bagni|nightlife|family|promenade,"The grand dame of Adriatic resorts — 15 km of groomed sand, numbered umbrellas and dolce vita nightlife.",https://europebeachmap.com/beaches/rimini-beach-it/
conigli-it,Spiaggia dei Conigli,Lampedusa,IT,Europe,1,tropical,35.514,12.56,27,Jun–Sep,Fine white,Caribbean turquoise,"Shallow, warm, calm",None,"Nature reserve, turtle nesting",false,Turtles|Snorkel|Nature reserve,Rabbit Beach — a turtle-nesting bay of turquoise closer to Africa than Italy.,https://europebeachmap.com/beaches/conigli-it/
spiaggia-del-principe-it,Spiaggia del Principe,"Costa Smeralda, Sardinia",IT,Europe,1,tropical,41.1213,9.5375,25,Jun-Sep,Fine pale sand with a faint pink tinge,"Emerald and turquoise, crystal clear","Calm, shallow entry, excellent",None,Granite headlands and maquis of the Emerald Coast,false,costa-smeralda|turquoise|cove,"The jewel of the Costa Smeralda, a horseshoe cove of emerald water rimmed by pink-flecked sand.",https://europebeachmap.com/beaches/spiaggia-del-principe-it/
spiaggia-della-rotonda-it,Spiaggia della Rotonda,"Tropea, Calabria",IT,Europe,1,resort,38.6745,15.8965,27,Jun-Sep,Fine white sand,Clear turquoise,"Shallow, warm, calm",None,Below Tropea's clifftop old town and the Santa Maria dell'Isola sanctuary,false,tropea|cliff-town|turquoise,White sand and turquoise water spread beneath Tropea's dramatic clifftop old town.,https://europebeachmap.com/beaches/spiaggia-della-rotonda-it/
tropea-beach-it,Tropea Beach,"Tropea, Calabria",IT,Europe,1,resort,38.678,15.895,27,Jun-Sep,Pale golden sand beneath a sheer sandstone cliff,Vivid turquoise over white sand,"Warm, clear and gently shelving",None,The clifftop old town and the rock-perched sanctuary of Santa Maria dell'Isola,true,clifftop town|sanctuary|turquoise,Calabria's postcard — turquoise water and golden sand beneath Tropea's cliff-hung old town and island sanctuary.,https://europebeachmap.com/beaches/tropea-beach-it/
baia-dei-turchi-it,Baia dei Turchi,"Otranto, Salento",IT,Europe,2,wild,40.173,18.469,26,Jun-Sep,Soft golden-white sand,Clear emerald-turquoise,Clean and gently shelving,None,Protected pine woodland behind the dunes,false,otranto|pinewood|protected,"A pinewood-backed strand where Ottoman raiders once landed, now a protected turquoise bay.",https://europebeachmap.com/beaches/baia-dei-turchi-it/
baia-del-silenzio-it,Baia del Silenzio,"Sestri Levante, Liguria",IT,Europe,2,resort,44.271,9.396,25,Jun-Sep,Fine golden sand,"Calm, clear blue-green","Sheltered, calm and shallow in the near-enclosed bay",None,A near-circular 'Bay of Silence' ringed by pastel fishermen's houses,false,bay of silence|pastel houses|calm,The 'Bay of Silence' — an almost-enclosed Ligurian cove of calm water rimmed by a curve of pastel fishermen's houses.,https://europebeachmap.com/beaches/baia-del-silenzio-it/
baia-delle-zagare-it,Baia delle Zagare,"Mattinata, Gargano",IT,Europe,2,wild,41.702,16.095,27,Jun-Sep,White pebbles and sand,"Deep, clear blue",Deep and clear beneath the cliffs,None,A cliff-backed bay with towering rock arches on the Gargano promontory,false,cliffs|sea arches|gargano,"A dazzling white cove on the Gargano cliffs, guarded by two towering limestone sea-stack arches rising from the water.",https://europebeachmap.com/beaches/baia-delle-zagare-it/
paraggi-it,Baia di Paraggi,"Portofino, Liguria",IT,Europe,2,resort,44.3111,9.2101,25,Jun-Sep,A single pocket of coarse golden sand — the only real sand on the Portofino promontory,Startling emerald green over seagrass and sand,"Sheltered, clear and calm inside the Portofino marine protected area",None,"Pine-backed cove on the coast path between Santa Margherita and Portofino, carved into chic beach clubs with one small free corner",false,beach clubs|emerald water|marine reserve,"Portofino's only sandy cove — emerald water, umbrella pines and some of Italy's priciest sunbeds.",https://europebeachmap.com/beaches/paraggi-it/
cala-brandinchi-it,Cala Brandinchi,"San Teodoro, Sardinia",IT,Europe,2,tropical,40.8341,9.6853,26,Jun-Sep,Fine soft white sand,Shallow turquoise lagoon,"Warm, shallow, family-friendly",None,"Pine and juniper backing, views to Tavolara island",false,little-tahiti|turquoise|shallow,Nicknamed Little Tahiti for its powder sand and warm turquoise shallows facing Tavolara.,https://europebeachmap.com/beaches/cala-brandinchi-it/
cala-coticcio-it,Cala Coticcio,"Caprera, La Maddalena",IT,Europe,2,wild,41.216,9.463,25,Jun-Sep,Coarse pale sand and smooth granite,Vivid green-blue,"Deep, clear and calm in the sheltered twin coves",None,Reached on a rough trail or by boat in the Maddalena archipelago park,false,tahiti|granite|hike-in,"Nicknamed 'Tahiti', a hidden granite-framed double cove in the Maddalena marine park reached only on foot or by boat.",https://europebeachmap.com/beaches/cala-coticcio-it/
cala-rossa-it,Cala Rossa,"Favignana, Egadi Islands",IT,Europe,2,exotic,37.943,12.348,26,Jun-Sep,White tufa rock ledges and pebbles,Dazzling turquoise over pale stone,"Deep, superb clarity, snorkelling",None,Old flooded tufa quarries and low cliffs,false,egadi|tufa-quarry|turquoise,Turquoise water fills the flooded tufa quarries of Favignana's most celebrated cove.,https://europebeachmap.com/beaches/cala-rossa-it/
cala-violina-it,Cala Violina,"Scarlino, Maremma",IT,Europe,2,wild,42.8729,10.7773,25,Jun-Sep,Fine white sand that sings underfoot,Clear turquoise,"Calm, shallow, clean",None,Reached on foot through a Mediterranean nature reserve,false,singing-sand|maremma|reserve,"Sand that squeaks like a violin underfoot, reached by a walk through unspoilt Maremma woodland.",https://europebeachmap.com/beaches/cala-violina-it/
calamosche-it,Calamosche,"Vendicari, Noto, Sicily",IT,Europe,2,wild,36.798,15.108,27,May-Oct,Soft golden sand,"Clear, calm turquoise","Sheltered, shallow and clean between two rocky arms",None,A wild cove reached on a footpath through the Vendicari nature reserve,false,reserve|hike-in|snorkelling,"A sheltered golden cove hidden at the end of a reserve footpath, its clear water a favourite of Sicilian snorkellers.",https://europebeachmap.com/beaches/calamosche-it/
cefalu-beach-it,Cefalù Beach,"Cefalù, Sicily",IT,Europe,2,resort,38.033,14.022,27,May-Oct,Golden sand,"Clear, calm blue",Shallow and gentle right below the old town,None,A sandy crescent beneath a medieval town and its great Norman cathedral rock,false,old town|cathedral|golden sand,"A golden crescent right beneath Cefalù's medieval lanes, Norman cathedral and the great crag that towers over the town.",https://europebeachmap.com/beaches/cefalu-beach-it/
